id,Ag_Pot_Maj,1997_Perc_Anthro,2011_Perc_Anthro,2013_Perc_Anthro,Cons_AOD,Biodiv_Pri,Clim_Zone,ClimChgZon,AvgD_FedCU,AvgD_StaCU,AvgD_Log,AvgDist0_97,AvgDist2_00,AvgDist5_03,AvgDist6_04,AvgDist7_05,AvgDist8_06,AvgDist9_07,AvgDist10_08,AvgDist11_13,AvgDist12_14,AvgDist_15,AvgD_Rail,AvgD_Mine,AvgD_City,AvgD_MajCi,Cons_Ecosy,AreaForRes,AreaOvLR,DomSoil,ConsTrdPop,DomVegetat
200,8,,,8.646272549,,,5,2,247032.0191,33430.08137,264439.1312,733361.3007,65830.59026,453979.7431,495061.2734,505309.8074,518085.0301,59744.33269,785736.6314,98651.8159,104460.747,65830.59026,215171.3126,119304.6288,28018.0972,65163.12988,,,,14,,21
209,6,,,,,100,4,4,25334.07239,372757.3741,95554.34445,294632.3621,541522.0486,789923.9625,789923.9625,789923.9625,947354.7535,829754.0378,502149.0014,694638.5709,737616.9477,541522.0486,346219.6696,88658.6693,73768.4538,73593.175,99.99999997,,,8,,20
216,2,,,,,100,3,6,12231.36565,405150.5839,478011.5458,121158.3018,252822.8998,2810381.438,2810381.438,685589.3873,3116825.924,2935328.3,1524216.78,2750220.972,89090.4112,252822.8998,1842036.055,660804.8786,30976.159,73966,,50.18030486,,18,99.83498258,17
218,2,,,1.293769192,,99.99999993,2,6,95057.21504,342159.5793,438853.1719,177844.7222,210063.2696,2682912.591,2682912.591,547176.5846,3002022.395,2845784.908,1394017.246,2664038.293,91300.27925,210063.2696,1812036.994,596460.7065,69747.33356,87222.15234,,12.97293667,,6,56.06120004,17
219,2,,,,,100.0000001,3,6,6229.479753,392724.2999,471007.6239,116183.2121,232419.8822,2786548.011,2786548.011,658274.6221,3096186.489,2920643.175,1499462.231,2736273.434,69811.89943,232419.8822,1850816.977,649663.6193,21848.25081,NA,,99.99999999,,9,100.0000001,17
224,6,,,0.207819716,100,79.79216894,3,4,320425.7137,126453.4391,141020.9429,420125.371,541240.9933,1479962.459,1479962.459,743256.342,1634347.517,1338622.506,506191.5416,1149781.959,432177.7026,541240.9933,763742.9439,44285.30416,101354.7991,126373.1449,99.99999998,0.869227479,24.65993573,20,,20
235,2,1.27772587,1.277769575,2.319428459,,100.0000001,3,6,115060.4829,281008.622,362727.6426,223873.6063,303023.0059,2684549.063,2684549.063,567919.9016,2988780.699,2808866.912,1399786.264,2624350.647,155360.6704,303023.0059,1765478.505,538118.7104,56573.34136,126986.1445,,,,9,100.0000002,17
236,8,0.848042493,0.848019493,,,99.99999999,1,6,92885.78932,35565.38115,596142.3746,46311.57632,171846.6317,1873002.229,1873002.229,131611.6163,2284428.681,2218401.228,651215.8289,1891110.938,755137.2203,171846.6317,1068875.324,129155.4436,54416.70112,62276.11328,,,,21,94.65776504,20
239,2,7.441013902,7.441013902,,100.0000004,,2,6,103078.7521,170889.4202,197549.2676,254902.7524,156425.8999,1671601.5,1671601.5,143157.3291,1968172.85,1842927.016,423830.3638,1671972.324,899601.1074,156425.8999,798109.1914,194259.3311,103528.5463,NA,,,,6,,20
241,2,4.573733256,4.504498354,,,100.000001,2,6,129127.2227,107683.9358,117828.8579,0,147393.492,1353532.825,1353532.825,343487.8049,1667561.794,1604446.712,140174.8859,1382842.712,977151.7096,147393.492,479302.4299,112871.07,39980.93698,39571.61719,,,100.0000007,14,,20
242,2,12.91522735,12.86705429,,100,,2,6,133983.9605,187913.2413,196139.1972,249760.8828,186829.9506,1659698.495,1659698.495,169947.8947,1950138.834,1817230.222,424280.6469,1645388.563,871960.881,186829.9506,787422.1915,163238.765,86725.29309,NA,,,,6,,20
248,4,8.01140789,7.709821915,,,99.99999942,1,6,203723.3482,366163.1243,676396.2514,217774.484,323207.9304,2362290.647,2362290.647,322755.644,2760996.361,2696368.209,1121105.988,2380193.573,319346.839,323207.9304,1546971.175,395956.9548,20280.66872,NA,,,,6,,17
259,1,0.253999799,0.248596948,0.075105493,,15.61505214,1,6,47734.24354,27565.99986,760269.1206,215879.9697,261108.3796,1993680.382,1993680.382,206513.9037,2436551.042,2369211.728,815355.8722,2009247.666,703157.8673,261108.3796,1223830.228,33625.09615,42678.0367,89215.375,,,,21,17.7309768,20
260,1,,,0.186285944,,39.4968685,1,6,138694.2387,28295.56378,636369.9395,135672.5345,313912.0755,1793335.72,1793335.72,277058.8649,2241099.417,2173251.818,630852.7926,1809056.626,874253.2255,313912.0755,1030903.935,44945.66486,27357.23117,30887.50391,,,,21,39.73141482,17
261,2,0.067781167,0.051924817,,,99.99999995,1,6,48323.54889,144806.456,761191.3776,182941.3833,207576.8709,2151524.163,2151524.163,174468.6193,2572797.455,2506713.11,938301.6386,2168296.139,532012.7134,207576.8709,1357232.053,181936.062,24707.72328,47767.16602,,,,13,99.99999989,20
264,8,,,,100.0000005,99.67519932,5,7,127945.0677,180056.4844,99461.04427,874794.4583,438256.7396,1004117.021,1035591.146,827725.4792,1063600.458,593623.6042,709040.9167,397046.5833,308509.0417,438256.7396,317284.6979,55550.07552,3650.281413,NA,,,100.0000005,4,,20
266,2,46.22860312,46.99096666,39.36016058,99.99999922,,2,6,54804.456,33615.34145,43583.35145,735.2941176,86415.44876,1324093.915,1324093.915,339292.0846,1656610.46,1593869.298,68154.32227,1347899.949,1050084.936,86415.44876,452154.9825,47328.17831,41789.30296,NA,91.68743255,,99.99999922,6,,20
272,1,9.11948487,9.108105198,,,100,1,6,25975.69397,144076.3771,794986.8461,220089.8441,242557.579,2152561.355,2152561.355,205416.8938,2582745.839,2516220.853,951825.8452,2168701.595,554085.9899,242557.579,1367636.487,157283.603,60556.30896,55962.71484,,,,6,99.99999991,20
273,4,14.92102538,14.86855932,0.021897073,,96.76831804,2,6,245660.1386,364474.3055,484755.729,247487.0806,305525.9548,2491615.374,2491615.374,367896.2877,2841989.466,2728951.955,1213473.73,2512316.808,116695.6577,305525.9548,1637979.738,576584.0254,46349.92805,35393.92969,,,,6,28.61336852,20
276,1,1.231511101,1.246635263,0.819559523,,15.98667596,1,1,43754.97846,147345.8228,851393.8678,360675.2186,429374.3376,2000704.688,2000704.688,377011.8705,2481072.394,2412096.507,889832.9467,2013339.223,806560.0801,429374.3376,1278702.17,129782.4653,114086.0552,90582.90716,,,,13,1.631607491,17
277,2,3.201570687,3.199991633,2.066700187,,100,1,6,13658.26524,65539.13473,695969.0197,316966.4952,469881.2205,1839318.066,1839318.066,416567.9165,2329146.023,2259617.955,759821.3868,1851551.981,934471.6022,469881.2205,1133711.165,167968.2733,76524.37957,72268.46424,,,,13,6.233453415,17
